HOME,DRAW,AWAY,HASIL
1.5,4.33,6.5,D
2.05,3.5,3.6,A
1.53,4.2,5.75,D
3.1,3.9,2.1,H
1.4,5.5,6.5,D
1.4,5.5,6.5,H
2,3.6,3.6,D
2.37,3.6,2.87,A
2.75,3.5,2.45,A
1.2,7,10,H
4,3.6,1.9,A
4.2,4,1.8,A
12,7.5,1.2,A
2.8,3.4,2.5,D
1.05,13,34,H
1.9,3.8,4,A
2.4,3.4,2.87,A
1.61,4,5.25,D
6.5,5.5,1.4,A
4,4.2,1.75,A
1.5,4.5,6,H
1.72,3.8,4.75,H
1.9,3.6,4,A
2.37,3.3,3,D
3.4,3.8,2.05,A
1.2,7,13,H
7,5.75,1.36,A
1.83,4,4,H
2.2,3.6,3.1,H
2.62,3.2,2.7,D
1.44,5,6.5,D
3,4,2.1,A
2.3,3.4,3.1,H
2.1,3.5,3.4,D
1.65,4.2,5,H
2.2,3.6,3.2,D
3.8,3.8,1.9,D
3.1,3.9,2.15,A
1.11,10,21,H
1.9,3.75,3.8,D
1.72,4,4.2,H
3.4,3.5,2.1,A
1.5,4.33,6,H
2.1,3.6,3.25,D
2.1,3.6,3.2,A
1.3,5.5,9,D
2.9,3.6,2.25,A
1.85,3.9,3.9,D
15,7,1.18,A
4.75,4,1.66,A
2.3,3.4,3,H
2.15,3.75,3,A
2.3,3.75,2.75,A
3.1,3.8,2.1,D
4.2,4,1.72,A
1.16,7.5,13,H
2,3.5,3.6,A
6.5,4.5,1.44,A
1.72,4,4.2,D
3.6,4.33,1.85,A
1.95,3.75,3.5,D
1.72,4.2,4.33,A
4.33,4,1.72,D
1.3,5.5,6,D
1.9,3.75,3.8,D
2.6,3.4,2.7,H
2.3,3.6,2.8,H
2.2,3.5,3.1,D
4.75,4.2,1.66,A
1.9,3.75,3.75,H
2.75,3.75,2.37,A
2.5,3.4,2.8,A
1.95,3.75,3.75,A
1.08,13,19,H
1.5,4.5,6,H
8.5,5.5,1.33,A
5.5,4.6,1.53,A
2.75,3.4,2.55,A
4.5,4,1.72,H
2,3.75,3.5,A
2.75,3.6,2.4,D
6,4.75,1.44,A
1.14,8,15,D
1.33,5.5,7.5,H
3.6,3.5,2.05,A
2.37,3.25,3,D
2.7,3.5,2.45,D
6.5,5.25,1.4,A
2,3.4,3.75,A
7,5.25,1.36,A
2,3.75,3.4,A
3,3.75,2.15,A
1.7,3.8,4.75,D
1.36,5.25,7.5,H
2.25,3.4,3.1,A
5.75,4.33,1.53,D
2.1,3.75,3.25,H
2.62,3.6,2.55,H
1.65,4.2,5,H
13,7.5,1.16,A
1.7,4.2,4.5,H
2.7,3.6,2.5,A
1.25,6.5,10,A
1.44,4.75,6.5,H
1.22,6,12,D
1.25,6,10,H
2.7,3.8,2.37,D
1.95,3.75,3.75,D
5.25,4.33,1.57,H
1.57,4.2,5.5,H
2.6,3.5,2.62,H
9.5,6.5,1.25,A
2.25,3.8,2.9,A
5.25,4,1.61,A
7,5.75,1.36,A
1.7,4.5,4.1,A
1.3,5.75,9,H
1.8,4,4.2,H
1.25,6.5,10,H
1.33,5.75,8,H
4,3.6,1.9,H
1.57,4.2,5.25,H
4.33,4.33,1.7,A
1.2,7.5,12,H
2.37,3.25,3,A
2.3,3.3,3.25,A
2.04,3.4,3.75,H
2.8,3.5,2.45,H
1.85,3.6,4,D
3.1,3.3,2.37,H
1.72,3.8,4.75,H
2.7,3.25,2.7,H
5.5,4.33,1.57,D
2.62,3.4,2.7,D
2.4,3.5,2.9,A
1.55,4,6.5,H
1.61,4.33,5,A
2.37,3.3,3.1,D
11,5.5,1.28,A
1.4,4.75,8,D
1.75,3.6,5,A
1.4,5,7.5,H
1.2,7,13,H
4,3.6,1.9,H
2.54,3.25,2.87,H
2.37,3.4,3,H
1.53,4.33,5.5,H
2.1,3.25,3.75,D
2.62,3.25,2.75,D
1.66,4,5,D
1.72,3.6,5.25,D
2.5,3.25,2.9,A
2.37,3.3,3.1,H
2.62,3.75,2.4,D
2.5,3.25,2.9,H
8,4.5,1.4,A
1.72,3.6,5.25,A
2.9,3.4,2.35,D
1.57,4.33,5.5,H
1.1,10,23,D
3.5,3.2,2.14,H
3.5,3.6,2.04,A
2,3.5,3.8,H
1.3,5.5,10,H
3.75,3.75,1.95,A
2.6,3.25,2.8,D
1.75,3.8,4.75,H
1.72,3.8,4.75,H
10,5.75,1.28,H
2.04,3.75,3.4,A
2.8,3.5,2.4,A
2.14,3.4,3.4,H
1.64,3.75,5.5,H
2.7,3.25,2.7,H
2.3,3.4,3.1,D
1.9,3.4,4.33,H
1.9,3.6,4,H
1.95,3.5,4,H
1.2,7,13,A
1.44,4.75,7,H
3.6,3.4,2.1,A
2.5,3.3,2.87,H
2.7,3.2,2.7,D
3.4,3.4,2.14,D
1.72,3.8,4.75,A
1.44,4.75,7,H
1.61,3.8,5.75,H
3,3.5,2.3,D
1.5,4.33,6.5,D
3.75,3.8,1.9,A
2.04,3.4,3.75,A
4.2,3.75,1.83,A
8.5,5,1.36,A
1.85,3.6,4.33,D
1.61,4.33,5,H
3.5,3.6,2,H
1.4,4.75,8,D
3,3.4,2.37,A
2.6,3.3,2.75,A
1.57,4.33,5.5,H
11,6.5,1.25,A
3.3,3.5,2.14,D
1.75,3.6,4.75,D
2.3,3.4,3.1,A
3,3.5,2.3,A
1.6,3.8,6,D
1.11,10,21,D
3.2,3.4,2.25,A
2.1,4,3.1,A
1.61,3.8,6,H
3.8,3.8,1.9,A
3,3.4,2.37,H
1.36,4.75,8,H
2.9,3.3,2.37,H
3.1,3.8,2.1,H
3.6,3.4,2.1,H
2,3.4,3.75,A
1.61,4.33,5,H
2.4,3.25,3.1,A
2.4,3.5,2.75,A
2.2,3.3,3.4,H
1.8,4,4,H
